Provenance,Uniformity,Dataset Charaterstics,Metadata coupling,% of non duplicated rows,% of non missing cells,Unskewness,Number of Categorical Columns wrt all cols,Uncoorelation,DataQuality,MetricDataQuality,CalculatedDataQuality,ErrorPercentage,ComparisionFactor Threshold=5,ComparisionFactor Threshold=4,ComparisionFactor Threshold=3
70.78788372,96.29859176,98.01467638,97.80084138,92.21705947,72.65646581,87.06710482,26.97169516,99.09576095,98.76357579,86.00730972,95.7249279,9.717618181,9.717618181,9.717618181,9.717618181
86.44848676,99.50503316,96.4083069,71.61749595,99.42446796,22.01248042,99.00446922,17.0282919,99.30211155,95.59275442,79.03451279,93.10513814,14.07062534,14.07062534,14.07062534,14.07062534
75.21309346,95.41116134,98.15150045,38.7760532,99.66719543,99.32525994,99.60437981,0.276065662,84.40600573,97.47032741,82.57706149,95.46205014,12.88498865,12.88498865,12.88498865,12.88498865
88.70072447,99.27826036,99.86637902,140.3931733,39.75756875,69.30001927,98.11221381,24.7413643,74.32191451,95.17883336,81.70904587,96.05372737,14.3446815,14.3446815,14.3446815,14.3446815
87.44344086,97.83690844,95.57507265,95.31165762,80.50329683,60.22129705,72.68833144,0.474744279,71.02151904,98.80879647,77.90991316,94.93428189,17.02436873,17.02436873,17.02436873,17.02436873
81.68255543,97.57624731,89.29811272,32.67601461,99.33843048,59.01416141,93.00777185,0.449957999,58.28903602,95.98238431,70.68352532,92.53623918,21.85271386,21.85271386,21.85271386,21.85271386
95.71438717,99.0656748,96.39055967,92.93197456,99.08303464,63.1795268,99.0787242,0.785080149,99.03999931,99.246966,90.8610943,96.76076577,5.899671465,5.899671465,5.899671465,5.899671465
43.04070719,97.89199328,88.87980391,58.06111363,99.90600166,99.33766903,93.29128554,36.64337684,75.66638677,96.09809194,77.32902867,94.16518115,16.83615249,16.83615249,16.83615249,16.83615249
78.07134465,96.76364907,96.28978403,66.69128327,99.16332055,71.37049351,56.81726064,16.18426279,86.78848578,98.19624253,78.64881876,94.19728549,15.54846674,15.54846674,15.54846674,15.54846674
94.37947413,99.34823541,95.09734294,45.42155143,75.62969929,30.55056108,84.09102139,33.98576442,99.8509389,94.40643546,72.08246161,91.1978967,19.11543509,19.11543509,19.11543509,19.11543509
79.27466446,95.44232009,94.48323055,84.60939616,99.12475428,99.87932092,99.56427107,31.95373562,99.33763818,99.03151717,92.96899569,96.91163107,3.942635375,#N/A,#N/A,3.942635375
82.04630851,99.09999704,99.96641745,37.16384678,99.66183602,84.57931174,90.37247901,30.85519906,71.1929633,96.54132616,78.0695368,93.40406302,15.33452622,15.33452622,15.33452622,15.33452622
83.96599459,98.30789812,97.1959776,70.31701217,37.89475815,99.96221033,92.70472519,2.412925572,39.94498248,95.50723326,68.47825657,94.15713433,25.67887776,25.67887776,25.67887776,25.67887776
94.2617355,96.27938924,91.74818466,87.56176853,79.07304253,39.32501122,84.28425365,20.68151644,97.31441287,97.49619751,80.03647786,93.85628381,13.81980595,13.81980595,13.81980595,13.81980595
84.31267924,95.78103595,79.00954846,39.31311767,99.41437504,73.63243806,92.67057623,6.573084645,53.3508453,96.82031484,73.77105475,93.2476566,19.47660185,19.47660185,19.47660185,19.47660185
89.54804745,99.65226494,86.55032288,94.30695497,67.29498084,40.5562822,99.05735715,19.96544571,80.6671637,97.22368833,76.58483337,93.65307649,17.06824312,17.06824312,17.06824312,17.06824312
69.47389865,94.97524116,90.3769134,83.96752837,81.33015241,75.23113747,99.16273567,18.00836556,92.37212028,99.14464249,81.91887955,95.2193013,13.30042176,13.30042176,13.30042176,13.30042176
84.81054186,96.70659061,95.81523869,79.05659751,74.38838794,66.01874859,99.75058787,21.17613483,98.18361958,98.74922461,82.31151413,94.77402215,12.46250802,12.46250802,12.46250802,12.46250802
46.0322821,95.85434203,89.61398478,87.60786229,99.43290935,76.40048997,63.65679918,49.44980193,99.281471,95.75567754,79.54667242,94.04652019,14.49984777,14.49984777,14.49984777,14.49984777
96.96547123,95.21726279,89.83654032,75.77205945,79.61562385,99.8481216,76.39366609,0.921149987,98.57934671,99.42603788,88.56211313,96.95114289,8.389029754,8.389029754,8.389029754,8.389029754
49.1122757,95.85117249,93.11759971,69.44209882,86.03804301,99.83961457,64.29540817,6.497672622,97.52873011,97.77030034,78.34234113,95.46216582,17.11982469,17.11982469,17.11982469,17.11982469
99.38491283,98.05069419,94.07016207,42.64334755,94.3075079,33.80426366,99.57705802,6.242691518,99.79685461,95.42009386,78.25148664,92.9261517,14.67466507,14.67466507,14.67466507,14.67466507
89.16004968,98.2683759,97.20579316,24.2657633,98.58940578,24.04546508,84.6670684,5.607754937,83.44918269,92.88565846,68.36820493,90.92794494,22.55974001,22.55974001,22.55974001,22.55974001
99.29861629,99.25722423,96.64147917,82.47558967,31.69262268,51.48864396,99.12303653,0.694544685,81.00551091,95.85351528,71.55591187,93.60446216,22.0485503,22.0485503,22.0485503,22.0485503
81.59511774,99.22518459,96.75503996,75.44772143,99.39006598,47.28279885,65.51698145,17.49323835,93.26155794,97.56472294,78.58846052,93.72839283,15.13993231,15.13993231,15.13993231,15.13993231
77.97143375,99.33416132,91.02574083,64.53853841,99.49627145,70.79145285,99.44797902,24.45055398,81.95386843,98.42259401,81.71817711,94.38949651,12.6713194,12.6713194,12.6713194,12.6713194
69.36177452,97.04203212,92.66704545,69.45933012,71.41628483,79.78613174,99.5572948,26.72036229,99.00640809,98.32415852,79.81279496,94.4865195,14.67372454,14.67372454,14.67372454,14.67372454
78.46485526,95.94920264,87.0059754,87.39995201,99.28571408,63.08660771,99.45236909,2.096649654,99.84311497,99.08476536,86.86538177,96.09670083,9.231319063,9.231319063,9.231319063,9.231319063
96.28229901,99.16032661,97.54862108,56.61498858,79.80705347,39.13393976,70.02058155,3.592275778,93.6997482,96.7220535,73.79336314,92.82628378,19.03292064,19.03292064,19.03292064,19.03292064
47.42095909,99.07924967,98.85704173,65.26221556,99.01203681,76.87353617,99.65537593,32.07819107,64.08531382,96.44378217,73.87544234,93.41242599,19.53698365,19.53698365,19.53698365,19.53698365
99.44661126,94.44713069,94.17621066,17.12122888,65.59427277,54.94132544,95.89313269,10.16234473,86.62426201,94.23259552,69.72145963,91.60563158,21.88417194,21.88417194,21.88417194,21.88417194
98.62623802,93.11726116,98.77951514,73.15235255,57.93415569,79.44330094,93.87980778,1.511794041,78.04615704,98.72926362,78.92002483,95.04967986,16.12965504,16.12965504,16.12965504,16.12965504
92.39280283,98.17132586,96.55919199,40.3569021,99.78751064,7.985784332,93.84664494,14.05561673,99.81968502,92.2561111,72.71370222,91.20755133,18.49384911,18.49384911,18.49384911,18.49384911
95.42440004,95.8940646,94.64773774,88.84434051,97.42839542,84.65588786,88.12391298,4.531006664,99.62138921,99.85317616,92.53918506,97.30540951,4.766224453,#N/A,4.766224453,4.766224453
69.53172576,93.20206796,98.76494881,98.79018771,64.98299356,89.35312358,99.43987414,14.08555803,92.93065056,98.85183626,83.4867675,96.2917196,12.8049521,12.8049521,12.8049521,12.8049521
69.28315822,99.2514586,96.20042246,78.10429827,87.17811998,29.82461805,89.94664465,6.308161301,99.00651808,96.57295318,74.62171578,93.27341091,18.65169513,18.65169513,18.65169513,18.65169513
47.80227663,94.99111371,95.48567453,98.22884414,99.14071775,84.84287929,65.79350318,24.60335093,99.95264529,97.4526007,83.09768143,95.78769386,12.69001243,12.69001243,12.69001243,12.69001243
73.95396832,99.04471002,90.55152781,88.46320162,99.99610912,28.57361432,99.5970104,11.42674106,99.70542626,96.46630531,80.46722924,94.08245696,13.61522773,13.61522773,13.61522773,13.61522773
83.74654932,99.74281074,95.73877725,95.46131272,99.35666766,99.90108732,62.15096973,3.476327908,78.11949065,98.99481773,87.93568125,97.26689433,9.331213077,9.331213077,9.331213077,9.331213077
73.88093281,96.58155527,96.06536496,90.37237647,64.21413941,60.40919449,99.87622662,0.089642233,66.09777915,98.24151123,73.23957012,94.3394913,21.09992119,21.09992119,21.09992119,21.09992119
82.44559548,97.48617355,94.84713917,74.22596514,99.86659074,65.79306943,74.7063598,0.084805533,99.94068409,98.93600297,83.81012864,95.46739336,11.65726472,11.65726472,11.65726472,11.65726472
19.6700095,99.28104564,96.12117517,42.50950287,92.41588852,53.0883521,60.13013279,7.674689061,47.03627525,91.91140423,52.6968515,90.18161402,37.48476252,37.48476252,37.48476252,37.48476252
88.17592441,99.52082323,92.70784865,99.05157081,99.86287877,63.0822606,99.92010012,7.976519045,99.11113339,99.1533233,90.5850511,96.66545699,6.080405892,6.080405892,6.080405892,6.080405892
79.57258854,99.52494611,98.79614891,99.76624473,99.33453522,99.20362139,87.71871562,29.99895504,44.10583873,97.33206307,84.40759,96.07309275,11.66550275,11.66550275,11.66550275,11.66550275
86.38118085,97.52772495,99.57913014,97.12911006,99.74156251,54.14886091,53.3068241,25.71353067,73.66384732,97.0342359,79.39905388,94.17009758,14.7710437,14.7710437,14.7710437,14.7710437
89.96243815,96.02564854,86.89043846,84.79551183,56.72022519,78.21768555,81.00352967,12.42596486,99.28648593,98.83425226,80.99342175,95.24689291,14.25347115,14.25347115,14.25347115,14.25347115
94.01332112,98.70640984,96.46072233,87.67060225,90.72719077,99.31477524,70.0990151,7.207037945,99.3367981,99.47616159,91.46294317,97.43067442,5.967731248,5.967731248,5.967731248,5.967731248
99.59568461,95.95999527,96.2988515,72.1371781,95.9782152,95.90812759,91.43865359,12.83868565,99.90260294,99.49801374,92.90325491,97.00744881,4.104193899,#N/A,4.104193899,4.104193899
79.94047,98.51912304,99.92121818,77.36557581,78.9417422,39.48601641,92.75097676,33.84801417,86.29022015,96.73862331,74.79436661,92.61363596,17.81926935,17.81926935,17.81926935,17.81926935
78.424894,96.09283718,96.24008318,60.69009706,99.52232516,20.09719884,83.18469574,12.10035651,99.41747295,95.04001366,73.94230699,92.25168836,18.30938137,18.30938137,18.30938137,18.30938137
72.98271157,96.10919963,94.81452749,61.08649549,99.68950376,73.49967333,84.55163209,8.697513092,86.44069292,98.83000645,79.963322,94.62769552,14.66437353,14.66437353,14.66437353,14.66437353
92.05567413,94.17482102,93.69933599,95.40304689,81.62502753,79.48261563,98.2421121,18.66296836,99.54759213,99.48929164,89.93452962,96.554215,6.619685381,6.619685381,6.619685381,6.619685381
97.28891718,97.06434182,98.87602239,47.55675958,63.03205124,99.64533319,99.74606526,24.17228837,87.32693766,97.3121398,81.62703598,94.71495592,13.08791994,13.08791994,13.08791994,13.08791994
65.4969243,99.23605596,94.41730731,34.73073493,84.66902119,93.19969612,77.13219828,9.70998826,42.95341895,95.51992703,66.64884982,92.71508169,26.06623188,26.06623188,26.06623188,26.06623188
86.67807856,98.93732523,94.50982075,96.16927379,88.91325826,62.10402347,62.53581831,0.833136273,99.62106258,98.63260692,83.86195124,95.81382748,11.95187625,11.95187625,11.95187625,11.95187625
52.64439023,98.27049341,91.80441937,73.07742881,99.53977495,61.20917099,97.58298217,19.15803343,99.27516404,97.5529754,79.32305781,94.30896882,14.98591102,14.98591102,14.98591102,14.98591102
78.2387556,98.45097973,97.25901184,68.86995004,99.32828359,77.6138627,65.72901419,15.0536489,85.30011612,98.72748024,80.74621591,94.76608814,14.01987222,14.01987222,14.01987222,14.01987222
98.09996386,96.44858871,93.67773088,49.09413933,97.86153908,79.82175878,79.29453932,19.31509263,99.2920259,98.05269687,85.48032344,94.81505391,9.33473047,9.33473047,9.33473047,9.33473047
68.09291598,99.63231249,92.17058309,97.56164047,99.32180851,58.74368581,56.77876932,24.50480406,87.62827498,97.42537294,79.41401604,94.45810928,15.04409324,15.04409324,15.04409324,15.04409324
87.8384326,95.60635935,94.61522594,96.82341325,85.00606253,19.46618435,99.22192641,18.12805307,99.48986908,95.64335856,79.83807081,93.6573988,13.81932798,13.81932798,13.81932798,13.81932798
69.93363758,99.89700316,99.64274739,89.54802232,66.60248443,90.86195195,69.24275465,13.06343763,88.02163022,98.73932615,78.90862167,95.49559907,16.5869774,16.5869774,16.5869774,16.5869774
92.59943869,99.53584963,96.64750639,83.99493604,99.17609098,65.05881815,99.3935668,21.46672482,99.46534268,98.9444718,89.47512251,95.78604537,6.310922854,6.310922854,6.310922854,6.310922854
55.94935183,96.24312381,90.50571894,75.03663704,85.24062235,46.61321209,79.21808153,28.63952963,99.68659914,96.85011107,73.20493784,92.76547645,19.56053861,19.56053861,19.56053861,19.56053861
95.20745381,98.45992354,89.31955358,38.9549601,99.85570975,66.14732798,88.87261426,9.382739181,94.87626129,97.29756482,81.58226129,94.03821624,12.45595495,12.45595495,12.45595495,12.45595495
84.11232661,94.84478135,98.24478563,88.51674883,75.16560428,77.54080257,84.20750781,15.81648115,61.55586529,98.94614377,77.73173776,94.75847857,17.0267408,17.0267408,17.0267408,17.0267408
93.13802335,97.01456099,90.86636045,69.81464339,55.35306034,93.99402842,90.08598237,29.73019809,98.77739452,97.98009873,82.71492661,95.03768459,12.32275798,12.32275798,12.32275798,12.32275798
33.90930742,98.10343983,94.85414141,53.71562502,51.33885289,93.26263649,76.26162785,23.42878545,73.49395182,95.06595611,62.19913182,92.32233833,30.1232065,30.1232065,30.1232065,30.1232065
97.11569285,96.45532214,98.40717658,59.90001591,18.24067189,72.53136483,58.42885952,23.27696487,54.56589299,93.12940486,60.11010571,91.2637879,31.15368219,31.15368219,31.15368219,31.15368219
87.62544033,95.11860789,93.89276174,41.56634597,99.8855378,99.09108423,58.09959391,0.609210191,64.40026756,96.79811469,77.7091719,94.64728853,16.93811663,16.93811663,16.93811663,16.93811663
82.98735167,97.01698562,98.63747461,69.24281253,88.39087526,1.750803884,65.49065688,10.35967927,99.48121413,92.67952402,69.02073215,91.2946404,22.27390826,22.27390826,22.27390826,22.27390826
23.56570077,99.14860349,90.41931315,41.62085141,99.65721312,38.1098005,76.7775929,7.933987894,94.05932814,92.39601176,62.04264037,91.08042312,29.03778276,29.03778276,29.03778276,29.03778276
81.78818537,99.7841373,98.51496704,68.30025692,99.84423839,57.8489348,61.39445628,0.895737489,68.83759668,97.86921631,74.6918522,93.8123771,19.1205249,19.1205249,19.1205249,19.1205249
75.24612258,99.28825572,91.3060163,92.54440395,99.58667947,43.47443117,99.68859342,0.585810974,62.3038804,97.3553637,77.20955854,94.42594337,17.21638483,17.21638483,17.21638483,17.21638483
92.18076221,99.45561535,97.50245236,58.19944583,99.6727029,7.845771158,88.72022856,5.670257327,99.88416386,93.54102382,74.77066571,92.15169745,17.38103174,17.38103174,17.38103174,17.38103174
81.96963655,99.42527018,98.60508732,71.80439931,89.98220456,68.06865651,99.53392604,27.42167285,44.81783514,97.02105605,74.79883858,93.40663067,18.60779209,18.60779209,18.60779209,18.60779209
68.43123225,96.06193709,90.6616811,84.84875199,99.81029185,84.20253957,71.94980436,3.992494436,99.63195407,99.17327019,85.51152411,96.35339378,10.84186966,10.84186966,10.84186966,10.84186966
69.53210632,99.07037012,93.89664676,33.92404845,66.43203413,75.46801274,78.77286922,32.61093749,83.74746429,96.00987901,68.09189553,91.73783782,23.6459423,23.6459423,23.6459423,23.6459423
69.50666885,99.69708703,90.93576649,16.38563607,99.69548709,82.62796669,98.13406635,19.46298355,59.89344678,94.17071003,70.9177581,92.32251905,21.40476095,21.40476095,21.40476095,21.40476095
73.68061266,97.10857811,91.64013788,68.88199731,72.48356495,90.06737129,85.08305883,21.45241385,69.33940498,98.77994573,75.85346742,94.2816297,18.42816228,18.42816228,18.42816228,18.42816228
88.01176474,95.84700123,94.72199328,38.11797752,99.29356601,84.0764004,99.85382202,1.042151121,35.05719259,95.30684544,73.63229906,93.6696521,20.03735304,20.03735304,20.03735304,20.03735304
78.72393467,99.78099663,99.73500783,71.26672683,65.23226398,99.56179816,99.30718275,4.480532501,98.04860198,98.81397444,83.79003428,96.29070612,12.50067184,12.50067184,12.50067184,12.50067184
96.69101672,99.28687417,95.07431983,82.06129992,54.84556139,0.305978073,95.28376771,0.527176729,70.62459964,92.0738349,64.5928916,91.25447462,26.66158302,26.66158302,26.66158302,26.66158302
79.6589287,98.20104339,96.97247436,63.93433466,71.88190635,41.02428601,94.75408095,25.83967067,69.72543839,96.6559835,68.84297872,91.77865395,22.93567523,22.93567523,22.93567523,22.93567523
85.37421401,96.3140227,94.41444172,69.18132175,91.59296416,6.173050284,99.3315095,0.166995435,53.09396098,92.88103721,66.04752431,91.32664271,25.2791184,25.2791184,25.2791184,25.2791184
98.32317561,98.46604457,91.2994525,67.77205183,99.97829831,55.33226504,89.62948297,13.8376346,95.42845824,98.33874909,84.88234373,94.6990111,9.816667377,9.816667377,9.816667377,9.816667377
98.113435,96.83956507,92.94203975,46.8180353,99.90488655,63.79906785,91.91063876,34.0438086,99.5166469,96.91426343,84.17699222,93.7208695,9.543877278,9.543877278,9.543877278,9.543877278
30.5617009,96.92931822,98.41503882,83.39878945,87.36084562,91.64004072,82.48375014,18.56087053,90.63429449,96.824762,76.43710123,95.06528841,18.62818718,18.62818718,18.62818718,18.62818718
65.43423322,99.81339833,95.60984071,79.82503977,85.37885389,99.60685189,92.06265285,7.127597085,80.69716346,99.17396113,82.7305577,96.26178774,13.53123003,13.53123003,13.53123003,13.53123003
68.22949794,96.95006734,96.8463859,30.08721814,99.59053743,99.5396923,99.54262263,0.719462345,72.8448192,96.28518902,77.92845478,94.65359716,16.72514238,16.72514238,16.72514238,16.72514238
85.5871605,94.82271191,93.48688175,30.67486138,83.65218286,71.59070299,99.44922865,21.3156065,77.12521894,96.4870737,74.24541644,92.67359527,18.42817883,18.42817883,18.42817883,18.42817883
83.32426331,96.04246846,99.35793719,96.38318607,80.52120706,97.79678763,75.53496804,17.25493114,63.53808064,98.81779411,82.77760254,96.11015703,13.33255448,13.33255448,13.33255448,13.33255448
21.93326178,96.67030558,94.258708,93.39362122,59.08627975,46.27020817,79.60200592,7.410713645,64.06502494,94.07456783,57.93571075,91.93127175,33.995561,33.995561,33.995561,33.995561
86.79731667,98.4539878,99.8531887,75.8297839,99.90056427,79.25050943,99.95341848,1.911222684,99.84369073,99.46314603,89.74088038,96.66820104,6.927320661,6.927320661,6.927320661,6.927320661
59.19803827,99.25598774,90.80805588,72.28509204,66.74930573,77.86340575,99.23537088,13.13050661,94.13199216,98.3560442,76.08565123,94.48130611,18.39565488,18.39565488,18.39565488,18.39565488
84.09081185,98.54289984,97.56976901,95.88909008,85.32689864,55.63559398,81.50935337,16.1165912,99.71132453,98.60114256,83.51344842,95.16924503,11.65579661,11.65579661,11.65579661,11.65579661
69.29284376,97.11719924,99.52476593,98.34313505,74.15780676,53.14925044,99.56260226,19.42801262,73.56460436,97.74937479,75.66372189,94.07771307,18.41399118,18.41399118,18.41399118,18.41399118
99.60462337,99.58905335,99.51233837,95.03058634,77.23526208,45.51627378,85.96372394,22.00437584,90.76685699,97.73689859,81.96340629,94.42005855,12.45665226,12.45665226,12.45665226,12.45665226
72.94755105,95.40064692,97.36408858,72.48018022,99.83280566,99.84652505,85.83441796,10.0734566,87.96559214,99.24132993,86.61038671,96.45663565,9.846248937,9.846248937,9.846248937,9.846248937
69.34227432,98.80051168,89.81253678,50.5467263,99.36508958,99.63799517,56.95642743,28.41598055,99.91028691,96.72261103,81.77383353,94.68429489,12.91046135,12.91046135,12.91046135,12.91046135
